,ts,lat,lon,speed
366,2017-07-01 05:13:24,13.984833,100.60411,0
367,2017-07-01 05:14:09,13.984833,100.60411,0
368,2017-07-01 05:14:54,13.984833,100.60411,0
369,2017-07-01 05:15:54,13.984833,100.60411,0
370,2017-07-01 05:16:39,13.984833,100.60411,0
371,2017-07-01 05:17:24,13.984833,100.60411,0
372,2017-07-01 05:18:24,13.984833,100.60411,0
373,2017-07-01 05:19:09,13.984833,100.60411,0
374,2017-07-01 05:19:54,13.984833,100.60411,0
375,2017-07-01 05:20:54,13.984833,100.60411,0
376,2017-07-01 05:22:24,13.984833,100.60411,0
377,2017-07-01 05:23:24,13.984833,100.60411,0
378,2017-07-01 05:24:09,13.984833,100.60411,0
379,2017-07-01 05:24:54,13.984833,100.60411,0
380,2017-07-01 05:25:54,13.984833,100.60411,0
381,2017-07-01 05:26:39,13.984833,100.60411,0
382,2017-07-01 05:27:24,13.984833,100.60411,0
383,2017-07-01 05:28:24,13.984833,100.60411,0
384,2017-07-01 05:29:09,13.984833,100.60411,0
385,2017-07-01 05:30:09,13.984833,100.60411,0
386,2017-07-01 05:30:54,13.984833,100.60411,0
387,2017-07-01 05:31:39,13.984833,100.60411,0
388,2017-07-01 05:32:39,13.984833,100.60411,0
389,2017-07-01 05:34:09,13.984833,100.60411,0
390,2017-07-01 05:35:09,13.984833,100.60411,0
391,2017-07-01 05:36:09,13.984833,100.60411,0
392,2017-07-01 05:36:54,13.984833,100.60411,0
393,2017-07-01 05:37:39,13.984833,100.60411,0
394,2017-07-01 05:38:39,13.984833,100.60411,0
395,2017-07-01 05:39:24,13.984833,100.60411,0
396,2017-07-01 05:40:24,13.984833,100.60411,0
397,2017-07-01 05:41:24,13.984833,100.60411,0
398,2017-07-01 05:42:09,13.984833,100.60411,0
399,2017-07-01 05:43:09,13.984833,100.60411,0
400,2017-07-01 05:43:54,13.984833,100.60411,0
401,2017-07-01 05:44:54,13.984833,100.60411,0
402,2017-07-01 05:45:54,13.984833,100.60411,0
403,2017-07-01 05:46:39,13.984833,100.60411,0
404,2017-07-01 05:47:39,13.984833,100.60411,0
405,2017-07-01 05:48:39,13.984833,100.60411,0
406,2017-07-01 05:49:39,13.984963,100.60408,4
407,2017-07-01 05:50:39,13.986103,100.60338,12
408,2017-07-01 05:51:24,13.986633,100.60416,23
409,2017-07-01 05:52:24,13.987273,100.60822,6
410,2017-07-01 05:53:24,13.987243,100.60825,0
411,2017-07-01 05:54:24,13.987273,100.60827,1
412,2017-07-01 05:55:09,13.987273,100.60825,0
413,2017-07-01 05:55:54,13.987273,100.60825,0
414,2017-07-01 05:56:54,13.987273,100.60825,0
415,2017-07-01 05:57:39,13.987273,100.60825,0
416,2017-07-01 05:59:24,13.987273,100.60827,0
417,2017-07-01 06:00:24,13.987273,100.60827,0
418,2017-07-01 06:00:39,13.987273,100.60827,0
419,2017-07-01 06:01:39,13.987273,100.60825,0
420,2017-07-01 06:02:39,13.987273,100.60827,0
421,2017-07-01 06:04:39,13.987353,100.60858,0
422,2017-07-01 06:05:54,13.987353,100.60855,0
423,2017-07-01 06:06:39,13.987353,100.60858,0
424,2017-07-01 06:07:39,13.987353,100.60858,0
425,2017-07-01 06:11:37,13.987353,100.60861,0
426,2017-07-01 06:12:52,13.987333,100.60855,0
427,2017-07-01 06:13:37,13.987333,100.60855,0
428,2017-07-01 06:51:18,13.987383,100.60863,0
429,2017-07-01 06:52:18,13.987383,100.60863,0
430,2017-07-01 06:53:18,13.987383,100.60863,0
431,2017-07-01 06:54:18,13.987383,100.60861,0
432,2017-07-01 06:55:33,13.987383,100.60863,0
433,2017-07-01 06:56:33,13.987353,100.60863,0
434,2017-07-01 06:57:48,13.987353,100.60863,0
435,2017-07-01 06:58:48,13.987353,100.60863,0
436,2017-07-01 06:59:48,13.987353,100.60861,0
437,2017-07-01 07:02:03,13.987353,100.60861,0
438,2017-07-01 07:03:18,13.987353,100.60861,0
439,2017-07-01 07:04:33,13.987353,100.60861,0
440,2017-07-01 07:05:33,13.987353,100.60861,0
441,2017-07-01 07:06:48,13.987353,100.60861,0
442,2017-07-01 07:07:48,13.987353,100.60861,0
443,2017-07-01 07:08:48,13.987353,100.60866,0
444,2017-07-01 07:10:03,13.987353,100.60872,0
445,2017-07-01 07:11:18,13.987353,100.60869,0
446,2017-07-01 07:12:18,13.987353,100.60869,0
447,2017-07-01 07:13:18,13.987713,100.611,17
448,2017-07-01 07:14:33,13.987853,100.61352,44
449,2017-07-01 07:15:48,13.986633,100.60572,42
450,2017-07-01 07:17:03,13.985693,100.60455,18
451,2017-07-01 07:18:03,13.985303,100.60491,0
452,2017-07-01 07:19:03,13.985333,100.60491,0
453,2017-07-01 07:20:18,13.985193,100.6048,8
454,2017-07-01 07:22:18,13.984943,100.60411,0
455,2017-07-01 07:23:18,13.984803,100.60372,9
456,2017-07-01 07:24:18,13.986133,100.60336,11
457,2017-07-01 07:25:18,13.986803,100.60494,30
458,2017-07-01 07:26:33,13.987303,100.60827,24
459,2017-07-01 07:27:33,13.987943,100.61288,37
460,2017-07-01 07:28:48,13.993163,100.61463,32
461,2017-07-01 07:30:03,13.995913,100.61527,30
462,2017-07-01 07:32:03,13.987553,100.6165,15
463,2017-07-01 07:33:18,13.982667,100.617387,58
464,2017-07-01 07:34:33,13.974747,100.618637,12
465,2017-07-01 07:35:33,13.969437,100.619417,21
466,2017-07-01 07:36:33,13.96588,100.619937,18
467,2017-07-01 07:37:48,13.96177,100.620497,48
468,2017-07-01 07:39:03,13.95702,100.621167,49
469,2017-07-01 07:40:18,13.95019,100.618887,49
470,2017-07-01 07:42:33,13.939633,100.61277,4
471,2017-07-01 07:43:48,13.934193,100.60958,12
472,2017-07-01 07:44:48,13.931137,100.60791,28
473,2017-07-01 07:47:03,13.923027,100.60338,12
474,2017-07-01 07:48:18,13.922027,100.6028,1
475,2017-07-01 07:49:18,13.919857,100.60163,21
476,2017-07-01 07:50:33,13.91475,100.598743,11
477,2017-07-01 07:52:48,13.90255,100.592053,57
478,2017-07-01 07:54:03,13.895773,100.588463,37
479,2017-07-01 07:55:18,13.888273,100.584163,46
480,2017-07-01 07:56:18,13.884493,100.581937,53
481,2017-07-01 07:57:18,13.879187,100.578997,45
482,2017-07-01 07:58:33,13.873667,100.575857,49
483,2017-07-01 07:59:48,13.867297,100.572417,22
484,2017-07-01 08:00:33,13.86302,100.570107,60
485,2017-07-01 08:01:48,13.85758,100.567187,26
486,2017-07-01 08:03:03,13.85347,100.565,20
487,2017-07-01 08:04:18,13.845963,100.56094,43
488,2017-07-01 08:05:03,13.843023,100.55933,38
489,2017-07-01 08:06:48,13.837443,100.55755,39
490,2017-07-01 08:07:48,13.829857,100.55797,53
491,2017-07-01 08:09:03,13.824137,100.55861,21
492,2017-07-01 08:10:03,13.819497,100.55905,14
493,2017-07-01 08:11:18,13.81558,100.55941,32
494,2017-07-01 08:12:33,13.81108,100.55897,27
495,2017-07-01 08:13:33,13.80638,100.55622,12
496,2017-07-01 08:14:48,13.80308,100.5543,21
497,2017-07-01 08:16:03,13.80022,100.5528,0
498,2017-07-01 08:17:03,13.797333,100.55119,32
499,2017-07-01 08:18:03,13.793163,100.549693,0
500,2017-07-01 08:19:18,13.789943,100.548463,10
501,2017-07-01 08:22:48,13.778387,100.544353,42
502,2017-07-01 08:24:03,13.772687,100.542383,23
503,2017-07-01 08:25:03,13.767387,100.540023,14
504,2017-07-01 08:26:18,13.76586,100.538993,0
505,2017-07-01 08:27:33,13.76588,100.538993,0
506,2017-07-01 08:28:33,13.76588,100.538993,0
507,2017-07-01 08:29:48,13.76413,100.538413,9
508,2017-07-01 08:31:03,13.76319,100.537463,13
509,2017-07-01 08:33:18,13.76127,100.536523,0
510,2017-07-01 08:34:33,13.76125,100.536493,0
511,2017-07-01 08:35:33,13.76125,100.536493,0
512,2017-07-01 08:36:33,13.76105,100.536413,12
513,2017-07-01 08:37:48,13.75777,100.534583,7
514,2017-07-01 08:39:03,13.75627,100.533603,1
515,2017-07-01 08:40:18,13.7548,100.532857,1
